,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg
400,0.4,5.3454632660641805e-09,2.15208568184755e-08,1.0051016289381397e-06,4.707269257900462e-05,0.00025638341806447394,2.576913881819083e-10,4.430950118586753e-06
600,0.6,4.033319670545603e-08,1.6224114860666145e-07,7.500995508914642e-06,0.00032695136247317286,0.00018323754260805232,1.3744640164332511e-09,1.2148432775463018e-05
800,0.8,1.201631598454033e-07,4.828840470852828e-07,2.2069755909984443e-05,0.0008847795979915739,0.00012600541869602406,2.7809089481785075e-09,2.1054349073417187e-05
1000,1.0,3.1327410132683364e-07,1.2565439574510872e-06,5.6175435145975266e-05,0.0019205212888025991,2.2044612617509667e-05,1.2383657264980785e-09,3.4009742963192364e-05
1200,1.2,9.381786032054701e-07,3.7570875941257777e-06,0.0001648631991531096,0.004893432912647909,5.9921174742109974e-05,9.87879632190694e-09,5.882012922322614e-05
1500,1.5,2.3552660878649596e-06,9.406317582195514e-06,0.0003995049511442474,0.009014268150576573,1.3244548891997847e-05,5.291262833545416e-09,9.334339289552623e-05
1600,1.6,4.876502418402447e-06,1.9432073358609805e-05,0.0008036112880262203,0.014471756935015807,2.5290805350580644e-05,2.0323976985874193e-08,0.00013452041775583658
1800,1.8,7.723959662014384e-06,3.07099686990506e-05,0.001236391506859888,0.017587586514404886,3.419122243465261e-05,4.227373759503549e-08,0.00016938113789412174
2000,2.0,1.4630862781581682e-05,5.79456075781163e-05,0.002225339604831913,0.019897960496196757,2.2256020024330418e-05,4.952720250413006e-08,0.0002332337700666037
2300,2.3000000000000003,2.0621857736725055e-05,8.147835099411217e-05,0.0030397485060166276,0.020605503619880873,1.0834061807661457e-05,3.293282366812197e-08,0.0002773818790296088
2400,2.4,2.70470144806455e-05,0.0001065785374060957,0.003848504068511424,0.018689071664056953,9.466915472263965e-06,3.643346269025542e-08,0.00031811140727198235
2500,2.5,4.364764817799241e-05,0.00017126330657398877,0.005867498772720052,0.015287195852882346,3.0220341641234693e-05,1.7731781780827407e-07,0.00040405276594622714
2700,2.7,5.826505717138039e-05,0.00022803974159634345,0.0075626790796583165,0.01198323732976625,7.982232409934358e-06,6.036706170747009e-08,0.0004681915025137834
2800,2.8000000000000003,8.996019314881187e-05,0.0003504800267406815,0.010964523909182376,0.00679464051506878,1.1959474750515593e-05,1.311299468299759e-07,0.0005824865403409053
3000,3.0,0.00014170790140666137,0.0005488196244560736,0.015891551693799195,0.0022286667127747865,8.382743355465404e-06,1.3321479993848165e-07,0.000732882084018301
3200,3.2,0.00022446790741319103,0.0008628852571266876,0.022646833968324336,0.004916777995905329,1.292623690074328e-05,2.927383422914555e-07,0.0009253569818020107
3600,3.6,0.0002868165447752325,0.0010935735556250165,0.02589334752990118,0.012471630965827773,3.460829197467303e-05,8.961245380925883e-07,0.0010485799439574769
