Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
0.4,7.313859192302628e-09,2.9392650917373582e-08,1.347800010882897e-06,5.922915842225546e-05,0.0003026300981740846,4.0788484041812227e-10,4.430950118586753e-06,,,,1.452929492e-05,5.043419999999486e-09,1.45242515e-05,2.8841814339999998e-05,1.9927969999996653e-08,2.882188637e-05,0.000176954677,9.049133000000025e-07,0.0001760497637,0.0007914743578999999,4.097506669999997e-05,0.0007504992911999999
0.6,5.6720743590980105e-08,2.27361807506385e-07,1.0236431074931944e-05,0.0004165072680797856,0.00025842697933421097,2.64537002008244e-09,1.2148432775463018e-05,,,,5.480306081e-05,3.9740329999999355e-08,5.476332048e-05,0.0001064428379,1.5480710000000477e-07,0.0001062880308,0.0005884448153,6.9060607000000305e-06,0.0005815387545999999,0.002601536798,0.00030279371700000016,0.002298743081
0.8,1.6483186184852e-07,6.612176910863345e-07,2.9685867371219304e-05,0.0011199928686422558,0.00017165469316626525,5.09571869082478e-09,2.1054349073417187e-05,,,,7.024760524e-05,1.1007886999999219e-07,7.013752637e-05,0.0001396238762,4.4231889999998765e-07,0.0001391815573,0.0008715673882999999,2.0204300399999917e-05,0.0008513630878999999,0.00456929574,0.0008620967359999998,0.003707199004
1.0,4.3402648558113124e-07,1.7369389562663117e-06,7.609598239007427e-05,0.002444011425842333,3.163753750063853e-05,2.407489544517623e-09,3.4009742963192364e-05,,,,0.0001274165805,2.948088000000041e-07,0.0001271217717,0.0002515730055,1.1714110999999682e-06,0.0002504015944,0.00153199489,5.249259700000012e-05,0.0014795022929999999,0.008357527182,0.0020840338290000005,0.006273493353
1.2,1.296616837847434e-06,5.183593888144809e-06,0.00022354720945736808,0.006248665966602358,7.837954923174433e-05,1.7521528994927373e-08,5.882012922322614e-05,,,,0.0002045955727,8.626540999999866e-07,0.0002037329186,0.0004079932926,3.472564500000045e-06,0.00040452072809999995,0.002644335061,0.0001562830880000002,0.002488051973,0.016903101519999998,0.0058902973599999995,0.011012804159999999
1.5,3.254204324418297e-06,1.2974168926610708e-05,0.0005416709670502884,0.011499186175310544,1.895126655419274e-05,1.0265350796907822e-08,9.334339289552623e-05,,,,0.0003301555442,2.187281300000015e-06,0.0003279682629,0.0006597163342,8.74494170000008e-06,0.0006509713924999999,0.004383250869,0.00038683132700000067,0.003996419542,0.030726275959999997,0.01312204321,0.017604232749999997
1.6,6.7549975652453965e-06,2.6870011253234037e-05,0.0010919026737703846,0.018392430122405663,2.9176204078629423e-05,3.185757580159866e-08,0.00013452041775583658,,,,0.00048720293429999994,4.528195499999986e-06,0.00048267473879999996,0.0009758120904999999,1.8137951900000005e-05,0.0009576741385999999,0.006668921172,0.0007946883629999998,0.005874232809,0.05071951331,0.02485578577,0.02586372754
1.8,1.06891881913819e-05,4.2428968577201416e-05,0.0016796275303013449,0.02227847463635056,4.6067870803630875e-05,7.737686490727397e-08,0.00016938113789412174,,,,0.0006064990507,7.171287200000045e-06,0.0005993277635,0.0012194230849999997,2.8701866999999905e-05,0.0011907212179999998,0.008614115942,0.0012444975879999992,0.007369618354,0.06856979249999999,0.03598008392999999,0.03258970857
2.0,2.034995782536441e-05,8.046095227600507e-05,0.0030386179814543357,0.025180336401093698,2.7308548450490583e-05,8.298024623198948e-08,0.00023324110607673382,,,,0.0008746091226999999,1.3669333200000042e-05,0.0008609397894999999,0.001763670849,5.465295000000019e-05,0.0017090178989999998,0.01285393419,0.0023220568999999993,0.01053187729,0.10443165709999999,0.05851983039999999,0.0459118267
2.3000000000000003,2.8607851987190825e-05,0.00011285083891444517,0.004143023034796569,0.025903767155117448,1.4708594978008609e-05,6.09380487082203e-08,0.0002773818790296088,,,,0.001025705074,1.924688500000004e-05,0.001006458189,0.0020753099689999996,7.686372799999962e-05,0.001998446241,0.01558229875,0.00322830579,0.012353992959999999,0.1298888452,0.07587798504,0.05401086015999999
