,model,ELWP,mkg,Dmax,Rgyr,ar,riming,Xa,Xs,Xb,Xe,Ua,Us,Ub,Ue,Aa,As,Ab,Ae,Wa,Ws,Wb,We
0,B,2.0,3.5170190000000003e-06,0.003495152,,,0.9979148000000001,2.60342e-10,2.419671e-09,3.548179e-09,,5.100539e-10,9.324947e-09,1.3377889999999999e-08,,4.1106779999999995e-09,3.994298e-07,4.3341259999999997e-07,,3.535203e-08,5.649644e-06,6.978985e-07,
1,B,2.0,1.9558420000000003e-06,0.002925538,,,0.99961,1.399229e-10,7.277463e-10,1.071948e-09,,2.722417e-10,2.804157e-09,4.058562e-09,,2.109341e-09,1.2409850000000002e-07,1.444058e-07,,2.0262340000000002e-08,2.486957e-06,2.55169e-07,
2,B,2.0,1.96077e-06,0.002927926,,,0.9995511999999999,1.39719e-10,7.285616e-10,1.073683e-09,,2.718476e-10,2.8074309999999996e-09,4.067843e-09,,2.1054410000000004e-09,1.24211e-07,1.45501e-07,,2.051466e-08,2.507602e-06,8.816769000000001e-08,
3,B,2.0,2.902111e-06,0.0032548029999999997,,,0.9988073000000001,2.159349e-10,1.658084e-09,2.432261e-09,,4.218701e-10,6.382014e-09,9.162901e-09,,3.342672e-09,2.73571e-07,3.005895e-07,,2.9189470000000002e-08,4.290843e-06,7.219414e-08,
4,B,2.0,5.9101779999999996e-06,0.00429899,,,0.9976275,4.532469e-10,7.004344e-09,1.029593e-08,,8.94188e-10,2.697117e-08,3.888202e-08,,7.245927e-09,1.059221e-06,1.168574e-06,,5.5800480000000004e-08,9.458518e-06,1.4932499999999998e-06,
5,B,2.0,2.192512e-06,0.002992399,,,0.9995985999999999,1.584597e-10,9.207148e-10,1.3504870000000002e-09,,3.08615e-10,3.54223e-09,5.085866e-09,,2.403755e-09,1.53458e-07,1.6784829999999999e-07,,2.3293e-08,3.012562e-06,3.870010999999999e-07,
6,B,2.0,2.8330579999999997e-06,0.0035597429999999998,,,0.9991509,2.030845e-10,1.517166e-09,2.211911e-09,,3.965694e-10,5.824305999999999e-09,8.265284e-09,,3.1342929999999997e-09,2.4365159999999997e-07,2.441805e-07,,3.014264e-08,4.431206000000001e-06,4.610876e-07,
7,B,2.0,1.41603e-06,0.0026781759999999996,,,0.9998756999999999,1.04861e-10,3.971846e-10,5.885458e-10,,2.034941e-10,1.533273e-09,2.245368e-09,,1.5477349999999997e-09,6.99137e-08,8.866964999999999e-08,,1.37764e-08,1.541582e-06,1.33654e-07,
8,B,2.0,1.730436e-06,0.00300011,,,0.9998983,1.254746e-10,5.786867e-10,8.552215e-10,,2.4384e-10,2.2320560000000002e-09,3.254989e-09,,1.8722070000000004e-09,1.002832e-07,1.242472e-07,,1.658672e-08,2.0012889999999997e-06,8.363114e-08,
9,B,2.0,1.3531370000000002e-06,0.002725278,,,0.9998699000000001,9.837403e-11,3.558687e-10,5.267944e-10,,1.908332e-10,1.373306e-09,2.0074059999999998e-09,,1.4475070000000002e-09,6.248530000000001e-08,7.821488e-08,,1.317565e-08,1.441634e-06,1.546703e-07,
10,B,2.0,5.9449099999999995e-06,0.00440685,,,0.9973255999999999,4.379444e-10,6.774863e-09,9.833791e-09,,8.638125e-10,2.597413e-08,3.652221e-08,,7.042218000000001e-09,9.822428999999999e-07,8.890283e-07,,6.03073e-08,1.041133e-05,1.739322e-06,
11,B,2.0,1.91319e-06,0.0029677270000000003,,,0.9996627,1.383417e-10,7.037284e-10,1.036862e-09,,2.690843e-10,2.711126e-09,3.927022e-09,,2.077516e-09,1.196721e-07,1.398455e-07,,1.975274e-08,2.397577e-06,8.496657000000001e-08,
12,B,2.0,2.365174e-06,0.003080067,,,0.9994791,1.716538e-10,1.077395e-09,1.584313e-09,,3.346712e-10,4.151715999999999e-09,5.989594000000001e-09,,2.6295009999999996e-09,1.8233970000000003e-07,2.0686579999999998e-07,,2.476747e-08,3.384821e-06,1.8752979999999998e-07,
13,B,2.0,2.051707e-06,0.0030901229999999997,,,0.9997425999999999,1.452807e-10,7.903406e-10,1.1558699999999999e-09,,2.827254e-10,3.0368200000000003e-09,4.339633e-09,,2.1891239999999996e-09,1.3005180000000002e-07,1.377835e-07,,2.206194e-08,2.761947e-06,4.1568040000000005e-07,
14,B,2.0,6.536526e-06,0.004275871,,,0.9972804,4.864684e-10,8.227368e-09,1.17844e-08,,9.618727e-10,3.1444e-08,4.305207e-08,,7.985795999999999e-09,1.143203e-06,7.893026e-07,,7.347254e-08,1.3237879999999998e-05,7.872251e-07,
15,B,2.0,3.596339e-06,0.003586737,,,0.9985806999999999,2.573014e-10,2.426753e-09,3.5155749999999996e-09,,5.039184e-10,9.298108000000001e-09,1.302079e-08,,4.0457589999999996e-09,3.747459e-07,3.335932e-07,,3.990539e-08,6.187668999999999e-06,8.622175e-07,
16,B,2.0,4.186371e-06,0.0037612440000000004,,,0.9986126000000001,3.018915e-10,3.315745e-09,4.8093850000000006e-09,,5.926497e-10,1.272578e-08,1.7874849999999998e-08,,4.813069e-09,5.131022e-07,4.6245090000000005e-07,,4.3591739999999994e-08,7.450903e-06,2.100257e-06,
17,B,2.0,8.269661e-06,0.004874933,,,0.9962612,5.998402e-10,1.2623759999999999e-08,1.758082e-08,,1.19021e-09,4.7703550000000004e-08,6.179496e-08,,1.0040940000000001e-08,1.5305019999999998e-06,5.980416e-07,,9.966883000000001e-08,1.970609e-05,2.494521e-06,
18,B,2.0,2.27358e-05,0.007329404,,,0.9935229999999999,1.793111e-09,9.877581e-08,1.3688379999999999e-07,,3.6125020000000003e-09,3.63531e-07,4.651012e-07,,2.7882569999999998e-08,6.847234e-06,7.006435999999999e-07,,2.2853720000000001e-07,4.644946e-05,8.403918e-07,
19,B,2.0,1.68769e-05,0.006676279,,,0.9940486,1.335454e-09,5.673292e-08,8.231324e-08,,2.6846659999999995e-09,2.1518829999999998e-07,3.023448e-07,,2.0197639999999998e-08,5.146540999999999e-06,3.437169e-06,,1.610586e-07,3.047792e-05,1.0133379999999999e-06,
20,B,2.0,1.3573970000000002e-05,0.006148287,,,0.9947529,1.03519e-09,3.552261e-08,5.061742e-08,,2.072687e-09,1.3467e-07,1.8266939999999997e-07,,1.646411e-08,3.71865e-06,1.9793029999999997e-06,,1.216332e-07,2.552969e-05,2.625491e-06,
21,B,2.0,1.057317e-05,0.005115548,,,0.9953945,8.002868e-10,2.1700040000000002e-08,3.121899e-08,,1.5970710000000003e-09,8.298628e-08,1.1478630000000001e-07,,1.3169809999999999e-08,2.691009e-06,2.174564e-06,,1.0570089999999998e-07,2.032345e-05,1.094753e-06,
22,B,2.0,8.212423e-05,0.01347203,,,0.9871474,6.480752e-09,1.011172e-06,1.177569e-06,,1.2842350000000001e-08,2.958855e-06,2.4319309999999998e-06,,1.021467e-07,3.026925e-05,4.356462e-06,,8.916559000000001e-07,0.0001872527,1.235836e-05,
23,B,2.0,8.252089e-05,0.01259416,,,0.9871110999999999,6.5217460000000005e-09,9.73694e-07,8.978031e-07,,1.306065e-08,2.7950970000000003e-06,1.229499e-06,,1.074146e-07,3.587458e-05,2.033614e-06,,8.641254e-07,0.000188619,2.9278870000000003e-05,
