,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg
140,1.78125,3.4273499999999997e-19,1.183551e-17,5.030085e-16,1.1038989999999998e-14,1.8299764318098e-05,9.204936999999998e-21,
148,1.875,3.2438829999999996e-19,1.123448e-17,4.89814e-16,1.368582e-14,7.071490402479309e-07,3.463715e-22,
108,1.875,3.2451199999999996e-19,1.118193e-17,4.696608e-16,9.711513e-15,8.389065044389483e-05,3.9400149999999996e-20,
196,1.875,3.6598439999999995e-19,1.265271e-17,5.453015999999999e-16,1.38883e-14,1.7175348467710346e-05,9.365745e-21,
12,1.875,3.2589309999999996e-19,1.12681e-17,4.892476e-16,1.2852989999999998e-14,0.00012515628078706978,6.123241e-20,
176,1.875,3.7286779999999997e-19,1.28033e-17,5.313067e-16,1.1116959999999999e-14,4.3940383209923764e-05,2.334582e-20,
132,1.921875,4.1715699999999993e-19,1.4346199999999998e-17,6.016454e-16,1.221278e-14,2.1912375628567926e-05,1.318348e-20,
144,1.921875,3.5732329999999995e-19,1.2144679999999999e-17,4.755994e-16,7.490972e-15,0.00010810305900301809,5.141375e-20,
84,1.921875,3.723722e-19,1.293467e-17,5.558354e-16,1.442801e-14,7.146041795826608e-07,3.9720230000000004e-22,
60,1.921875,3.796423e-19,1.294891e-17,5.179857999999999e-16,7.530839e-15,5.0847610108230765e-05,2.633834e-20,
156,1.96875,3.4605770000000003e-19,1.200382e-17,5.227265000000001e-16,1.384294e-14,1.1157767972352655e-06,5.832461e-22,
28,1.96875,3.3306429999999997e-19,1.1544839999999998e-17,4.997304e-16,1.312294e-14,2.5125447641368223e-06,1.2555949999999999e-21,
180,1.96875,3.144761e-19,1.069346e-17,4.104221e-16,4.869715e-15,8.435427819310898e-05,3.462086e-20,
152,1.96875,3.2041190000000003e-19,1.100333e-17,4.642318e-16,9.612056000000002e-15,3.86727923421015e-06,1.7953139999999997e-21,
164,1.96875,3.399337e-19,1.1666679999999999e-17,4.800977e-16,8.933579999999999e-15,4.398892142161898e-06,2.111898e-21,
100,2.015625,3.2288059999999995e-19,1.105857e-17,4.4232679999999997e-16,8.799824000000001e-15,0.00019427737591301274,8.593409e-20,
56,2.015625,3.828389e-19,1.3224999999999999e-17,5.723822e-16,1.512776e-14,7.140837014148938e-05,4.0872879999999997e-20,
184,2.015625,3.207652e-19,1.095266e-17,4.384832e-16,6.267511999999999e-15,8.255997037058659e-06,3.620115999999999e-21,
72,2.015625,4.204362e-19,1.445478e-17,5.948666e-16,1.206232e-14,0.0001831096249142245,1.0892580000000001e-19,
172,2.015625,4.1237700000000003e-19,1.425507e-17,6.047627999999999e-16,1.2909419999999999e-14,6.193510910393298e-05,3.7456049999999995e-20,
48,2.015625,3.6214619999999997e-19,1.2558049999999999e-17,5.582631999999999e-16,1.7689439999999998e-14,1.8185436546775785e-05,1.015226e-20,
168,2.0625,3.637002e-19,1.247159e-17,5.192519999999999e-16,1.122393e-14,3.681193331946724e-05,1.9114670000000002e-20,
160,2.0625,3.205571e-19,1.0896609999999999e-17,4.28613e-16,4.809549e-15,4.2758199121351894e-05,1.832672e-20,
4,2.109375,4.334372e-19,1.507226e-17,6.616306e-16,1.8874369999999998e-14,3.630297631336881e-05,2.4019159999999997e-20,
8,2.109375,4.19221e-19,1.4459579999999997e-17,6.137268e-16,1.3606359999999999e-14,1.7822083050634254e-05,1.0937889999999999e-20,
36,2.109375,3.645591e-19,1.2589869999999999e-17,5.277087e-16,1.21356e-14,0.00021447779807306567,1.131818e-19,
16,2.109375,4.2147970000000003e-19,1.446824e-17,5.83233e-16,9.623076999999999e-15,7.906277594031888e-06,4.6112019999999995e-21,
124,2.109375,3.67131e-19,1.2526779999999999e-17,4.853588e-16,9.18414e-15,5.8224369270733326e-05,2.825971e-20,
44,2.109375,3.872393e-19,1.338239e-17,5.592945e-16,1.0560129999999998e-14,4.910632949188665e-05,2.74649e-20,
88,2.15625,4.282884e-19,1.468339e-17,6.122195999999999e-16,1.1818679999999998e-14,1.1836406413646346e-05,7.246479999999999e-21,
192,2.15625,3.735887e-19,1.274361e-17,4.983086999999999e-16,4.644943999999999e-15,1.7673907760390296e-05,8.807062e-21,
112,2.203125,3.902657e-19,1.329107e-17,5.233501e-16,7.470241e-15,3.0603873009673644e-05,1.6016540000000003e-20,
